epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
61,0.353,2.0777,"[ 0.51528987  0.18324233 -0.2455799  -0.24907406  0.12411865  0.45244346
  0.44921447  1.1999229   1.00248161  0.61104171 -0.20035023  0.99200448
  1.18519652  0.6223847   0.624655    1.18220232  0.99896799 -0.29740764
  0.62786498  0.22792415  0.54991491  1.32187237  0.50832381  1.02375715
  0.75791093  0.53714649  0.35163331 -0.29280255 -0.21756072  0.15553652
  0.43598217 -0.02650326]",14.2528
62,0.3527,2.0683,"[ 0.52128758  0.17724408 -0.25157824 -0.25507363  0.11813483  0.45843947
  0.44321562  1.20592155  0.99648542  0.61704097 -0.20634954  0.9980032
  1.19119626  0.61638716  0.61866066  1.18819667  1.00496002 -0.30334603
  0.63385243  0.2220781   0.54391885  1.3278629   0.51432291  1.02974582
  0.76390339  0.53114735  0.34563353 -0.29880246 -0.2235603   0.14955158
  0.44193891 -0.03249724]",14.2624
63,0.3671,2.0403,"[ 0.5272853   0.17124592 -0.25757652 -0.2610732   0.11215252  0.46443557
  0.43721682  1.21192012  0.99048887  0.62304017 -0.21234883  1.00400187
  1.19719599  0.61038957  0.61266627  1.19419072  1.01095174 -0.309277
  0.63983876  0.2162326   0.53792269  1.33385329  0.52032204  1.03573472
  0.76989552  0.52514835  0.33963375 -0.30480238 -0.22955987  0.14357022
  0.44790922 -0.03849059]",14.2726
64,0.3564,2.0654,"[ 0.53328308  0.1652478  -0.26357477 -0.26707279  0.10617152  0.47043186
  0.43121804  1.21791867  0.98449198  0.62903932 -0.21834813  1.0100005
  1.20319572  0.60439185  0.60667168  1.20018463  1.01694336 -0.31520135
  0.64582426  0.21038356  0.53192633  1.33984379  0.52632124  1.04172416
  0.77588751  0.51914957  0.33363397 -0.3108023  -0.23555944  0.13759348
  0.45388689 -0.0444834 ]",14.2832
65,0.3571,2.0084,"[ 0.53928088  0.15924974 -0.26957298 -0.27307239  0.10019239  0.47642829
  0.42521929  1.22391715  0.97849485  0.63503841 -0.22434743  1.01599908
  1.20919545  0.59839403  0.60067695  1.20617834  1.02293478 -0.32111693
  0.65180865  0.20453285  0.52592982  1.34583428  0.53232049  1.04771397
  0.78187926  0.51315114  0.3276342  -0.31680222 -0.24155901  0.13162453
  0.45986878 -0.05047552]",14.2943
66,0.3474,2.0403,"[ 0.54527873  0.15325173 -0.27557117 -0.279072    0.0942154   0.4824249
  0.41922054  1.2299156   0.9724979   0.64103731 -0.23034674  1.02199755
  1.21519518  0.5923961   0.59468204  1.21217189  1.02892609 -0.32702301
  0.65779196  0.19867892  0.51993314  1.35182484  0.53831982  1.05370425
  0.78787083  0.50715456  0.32163443 -0.32280214 -0.24755858  0.12566984
  0.46585367 -0.05646694]",14.3059
67,0.3485,1.9492,"[ 0.55127659  0.14725382 -0.28156927 -0.28507161  0.08824206  0.48842158
  0.41322193  1.2359139   0.96650089  0.64703613 -0.23634602  1.02799595
  1.22119489  0.58639811  0.58868711  1.21816508  1.03491702 -0.33291441
  0.66377352  0.19282619  0.51393638  1.35781517  0.54431915  1.05969469
  0.79386195  0.50115939  0.31563466 -0.32880206 -0.25355814  0.1197556
  0.47184031 -0.06245727]",14.3179
68,0.3568,1.9222,"[ 0.55727451  0.14125595 -0.28756736 -0.29107124  0.08227263  0.49441845
  0.40722339  1.24191209  0.96050347  0.65303492 -0.24234531  1.03399436
  1.22719461  0.58040001  0.58269196  1.22415816  1.04090788 -0.33879192
  0.66975379  0.18696949  0.50793944  1.36380558  0.55031851  1.06568562
  0.79985289  0.49715893  0.30963489 -0.33480198 -0.25955771  0.11597412
  0.47782871 -0.06844669]",14.3317
69,0.3559,1.9478,"[ 0.5632724   0.13525818 -0.29356537 -0.29707088  0.07631035  0.50041537
  0.40122494  1.24791018  0.95450594  0.65903352 -0.24834457  1.03999266
  1.23319432  0.57440185  0.57669686  1.23015119  1.04689834 -0.3446473
  0.67573186  0.18111363  0.50194244  1.36979565  0.55631789  1.07167665
  0.80584322  0.49914676  0.30363513 -0.34080191 -0.26555727  0.12175247
  0.48381811 -0.07443486]",14.3503
70,0.359,1.8806,"[ 0.56927028  0.12926051 -0.29956329 -0.30307051  0.07035944  0.50641232
  0.39522661  1.25390816  0.94850828  0.66503193 -0.25434381  1.04599088
  1.23919402  0.56840363  0.57070183  1.23614443  1.05288844 -0.35047428
  0.6817075   0.17525772  0.49594541  1.37578529  0.56231728  1.07766775
  0.8118328   0.5051418   0.29763537 -0.34680183 -0.27155682  0.12767006
  0.48980842 -0.08042173]",14.3716
71,0.361,1.9021,"[ 0.57526819  0.12326289 -0.30556117 -0.30907015  0.06442785  0.51240938
  0.38922837  1.25990606  0.94251056  0.67103002 -0.26034305  1.05198901
  1.24519373  0.56240531  0.56470675  1.24213802  1.05887837 -0.35626709
  0.68768088  0.1693987   0.48994828  1.38177467  0.56831671  1.08365909
  0.81782173  0.51113949  0.29163561 -0.35280176 -0.27755638  0.1336176
  0.49579967 -0.08640742]",14.3934
72,0.359,1.9142,"[ 0.58126607  0.11726537 -0.31155896 -0.31506979  0.0585471   0.51840645
  0.38323036  1.26590377  0.93651279  0.67702787 -0.26634225  1.05798706
  1.25119342  0.55640693  0.55871176  1.24813176  1.06486784 -0.36200441
  0.69365076  0.16354039  0.48395114  1.38776342  0.57431614  1.08965042
  0.8238096   0.51713762  0.28563586 -0.35880169 -0.28355594  0.13957751
  0.50179148 -0.09239128]",14.4155
73,0.3615,1.893,"[ 0.58726394  0.11126794 -0.31755668 -0.32106943  0.05339157  0.52440358
  0.37723254  1.27190132  0.93051503  0.68302525 -0.27234143  1.063985
  1.25719311  0.55040849  0.55271682  1.25412572  1.07085696 -0.36765934
  0.69961681  0.15768113  0.47795395  1.39375164  0.58031558  1.09564186
  0.82979641  0.52313613  0.27963611 -0.36480161 -0.28955549  0.14554488
  0.50778387 -0.09837316]",14.4381
74,0.3567,1.9139,"[ 0.5932618   0.10527061 -0.32355435 -0.32706907  0.05890631  0.53040075
  0.37123494  1.27789868  0.92451718  0.68902164 -0.27834057  1.0699828
  1.2631928   0.54440998  0.54672193  1.26011988  1.07684566 -0.37316726
  0.70557792  0.15182158  0.47195674  1.39973997  0.58631504  1.10163333
  0.83578189  0.52913499  0.27363636 -0.37080154 -0.29555504  0.15151692
  0.51377672 -0.10435253]",14.4622
75,0.3517,1.901,"[ 0.59925962  0.09927342 -0.32955196 -0.33306871  0.06474982  0.53639793
  0.36523786  1.28389561  0.91851932  0.69501613 -0.28433967  1.07598038
  1.26919247  0.53841144  0.54072722  1.26611411  1.08283369 -0.37833843
  0.71153194  0.14596435  0.46595962  1.405729    0.59231449  1.10762464
  0.8417655   0.53513401  0.26763663 -0.37680147 -0.30155458  0.15749174
  0.51976985 -0.11032835]",14.4866
76,0.3606,1.9096,"[ 0.60525749  0.09327627 -0.33554962 -0.33906835  0.07065495  0.54239524
  0.35924132  1.28989212  0.91252147  0.70100904 -0.29033875  1.08197791
  1.27519215  0.53241281  0.53473242  1.27210868  1.08882159 -0.38213279
  0.71747902  0.14010318  0.45996244  1.41171914  0.59831396  1.11361618
  0.84774767  0.54113312  0.26163689 -0.38280141 -0.30755413  0.16346959
  0.52576352 -0.11630091]",14.5113
77,0.3647,1.8494,"[ 0.61125529  0.0872793  -0.3415472  -0.34506799  0.07658318  0.54839253
  0.35324617  1.29588769  0.90652369  0.70699064 -0.29633776  1.08797519
  1.28119181  0.52641415  0.52873786  1.27810326  1.09480865 -0.37896419
  0.72341312  0.13424573  0.45396537  1.41770974  0.60431341  1.1196075
  0.8537269   0.54713228  0.25563716 -0.38880134 -0.31355367  0.16944864
  0.53175733 -0.12226764]",14.5358
78,0.3675,1.862,"[ 0.61725308  0.08128242 -0.34754477 -0.35106764  0.08252583  0.55438989
  0.34725345  1.30188202  0.90052579  0.70892313 -0.30233671  1.09397229
  1.28719146  0.52041543  0.52274336  1.28409803  1.10079535 -0.37410195
  0.72933095  0.12838774  0.44796832  1.42370105  0.61031287  1.12559887
  0.85970303  0.55313153  0.24963744 -0.39480127 -0.3195532   0.17542919
  0.53775142 -0.1282289 ]",14.5597
79,0.3607,1.8964,"[ 0.62325088  0.07528558 -0.35354237 -0.35706729  0.08847714  0.56038735
  0.34126654  1.3078746   0.89452777  0.70696957 -0.30833562  1.09996919
  1.29319111  0.51441665  0.5167489   1.29009302  1.10678226 -0.36884249
  0.73522462  0.1225281   0.44197126  1.42969308  0.61631233  1.13159041
  0.86567468  0.55913082  0.24363772 -0.4008012  -0.32555274  0.18141107
  0.54374575 -0.13418694]",14.5832
80,0.3647,1.9087,"[ 0.62924869  0.0692888  -0.35953997 -0.36306694  0.09443501  0.56638489
  0.33735137  1.31386193  0.88852966  0.70897608 -0.31433446  1.10596596
  1.29919076  0.5084178   0.51075451  1.29608818  1.11276914 -0.36340261
  0.74107308  0.11666752  0.4359742   1.43568572  0.6223118   1.13758207
  0.87163992  0.56513011  0.237638   -0.40680114 -0.33155227  0.18739398
  0.54974029 -0.14013972]",14.6085
81,0.3633,1.9797,"[ 0.6352465   0.0632921  -0.36553757 -0.36906661  0.10039896  0.5723825
  0.33549471  1.31984016  0.88253152  0.70697622 -0.32033325  1.1119623
  1.3051904   0.50241891  0.50476019  1.3020835   1.118756   -0.35785971
  0.74680983  0.11080593  0.42997714  1.44167888  0.62831128  1.14357387
  0.87759649  0.57112948  0.23163829 -0.41280108 -0.33755181  0.19337836
  0.55573501 -0.14608549]",14.6339
82,0.3691,2.0189,"[ 0.64124425  0.05729555 -0.37153513 -0.37506627  0.10636715  0.5783801
  0.34146695  1.32200676  0.87653336  0.70099746 -0.32633193  1.11795804
  1.31119002  0.49642     0.4987661   1.3080788   1.12474299 -0.35225333
  0.75110246  0.10494725  0.42398015  1.4476723   0.63431075  1.14956561
  0.8835371   0.57712886  0.22563858 -0.41880101 -0.34355134  0.19936385
  0.56172963 -0.15202809]",14.6621
83,0.3608,2.0791,"[ 0.64724204  0.05129896 -0.37753273 -0.38106594  0.11234139  0.5843778
  0.34744767  1.32198454  0.87053513  0.69500279 -0.33233062  1.12395241
  1.31718964  0.49042104  0.49277201  1.31407426  1.13073075 -0.34658759
  0.74581374  0.0990857   0.4179831   1.4536662   0.64031028  1.15555766
  0.88945736  0.58312835  0.21963888 -0.42480095 -0.34955087  0.20535128
  0.56772434 -0.15797259]",14.6863
84,0.3685,1.8596,"[ 0.65323974  0.04530252 -0.38353023 -0.38706561  0.11831984  0.59037543
  0.35344047  1.3160059   0.86453674  0.69101399 -0.33832917  1.12994604
  1.32318924  0.4844221   0.48677826  1.3200696   1.13671849 -0.34089366
  0.74003489  0.0932302   0.41198615  1.45966015  0.64630979  1.16154954
  0.89534146  0.58912781  0.21363918 -0.43080089 -0.35555037  0.21133951
  0.57371882 -0.1639166 ]",14.7134
85,0.3702,2.038,"[ 0.65923749  0.03930597 -0.3895278  -0.39306529  0.12430269  0.59637316
  0.35943486  1.31001724  0.85853817  0.685034   -0.34432769  1.13593907
  1.32918884  0.47842311  0.48078445  1.32606514  1.14270696 -0.33516119
  0.73416632  0.08737176  0.40598911  1.46565452  0.65230932  1.16754176
  0.90116667  0.59512729  0.20763948 -0.43680083 -0.36154989  0.21732906
  0.57971345 -0.16986313]",14.7405
86,0.3688,2.0337,"[ 0.6652352   0.03330948 -0.39552531 -0.39906498  0.13028785  0.60237087
  0.36543012  1.30402555  0.85253961  0.67904251 -0.35032613  1.14192893
  1.33518842  0.47242412  0.47479089  1.33206065  1.14869568 -0.32940792
  0.72826336  0.08151718  0.39999212  1.47164901  0.65830887  1.17353396
  0.90673212  0.60112681  0.20163979 -0.44280078 -0.3675494   0.22331925
  0.58570797 -0.17581133]",14.7678
87,0.3659,2.0254,"[ 0.67123288  0.02731302 -0.40152279 -0.40506466  0.13627483  0.60836859
  0.37142612  1.29803199  0.846541    0.67304968 -0.3563245   1.14791322
  1.34118798  0.46642512  0.46879757  1.33805617  1.15468473 -0.32363606
  0.72234055  0.07566564  0.39399515  1.47764366  0.66430843  1.1795262
  0.90489149  0.60712634  0.19564011 -0.44880072 -0.3735489   0.22931004
  0.59170239 -0.18176179]",14.7976
88,0.3636,2.0203,"[ 0.67723056  0.02131655 -0.40752026 -0.41106436  0.14226332  0.61436633
  0.37742258  1.29203739  0.84054233  0.66705539 -0.36232279  1.15387773
  1.34718753  0.4604261   0.46280442  1.34405173  1.16067423 -0.31784643
  0.71640431  0.06981571  0.3879982   1.48363851  0.67030801  1.18551857
  0.89936048  0.61312591  0.18964043 -0.45480066 -0.37954839  0.23530143
  0.59769677 -0.18771514]",14.8288
89,0.3669,2.0356,"[ 0.68322818  0.01532016 -0.41351767 -0.41706405  0.14825277  0.62036403
  0.38341924  1.28604228  0.83454363  0.66106159 -0.36832094  1.1597937
  1.35318705  0.45442709  0.45681163  1.35004725  1.16666392 -0.31204604
  0.71045998  0.0639709   0.38200132  1.48963343  0.67630759  1.19151091
  0.89363914  0.61912549  0.18364076 -0.4608006  -0.38554787  0.24129315
  0.60369099 -0.19367035]",14.8603
90,0.3693,2.0378,"[ 0.68922584  0.00932371 -0.4195151  -0.42306375  0.15424338  0.62636179
  0.38941614  1.28004669  0.82854486  0.65506954 -0.37431896  1.16001549
  1.35918655  0.44842804  0.45081902  1.35604284  1.17265409 -0.30623055
  0.70450791  0.0581255   0.37600443  1.49562858  0.68230718  1.19750342
  0.88790743  0.62512507  0.17764109 -0.46680055 -0.39154735  0.24728536
  0.60968522 -0.19962773]",14.8914
91,0.3765,2.0212,"[ 0.69522352  0.00332723 -0.42551255 -0.42906346  0.1602349   0.63235956
  0.39541316  1.27405086  0.82254607  0.64907697 -0.38031683  1.1606054
  1.36518603  0.44242899  0.44482677  1.36203844  1.17864453 -0.3004046
  0.69855023  0.05228042  0.37000758  1.50162385  0.68830678  1.20349595
  0.88244105  0.63112466  0.17164143 -0.47280049 -0.39754682  0.25327779
  0.61567937 -0.20558486]",14.9228
92,0.3736,1.9885,"[ 0.70122116 -0.00266922 -0.43150995 -0.43506316  0.16622702  0.63835731
  0.40141043  1.2680546   0.81654726  0.64708181 -0.38631435  1.16614844
  1.37118546  0.43642994  0.43883505  1.36803398  1.18463501 -0.29457286
  0.69258882  0.0464385   0.36401084  1.50761917  0.69430638  1.20948838
  0.87879208  0.63712423  0.16564179 -0.47880044 -0.40354627  0.25927031
  0.62167335 -0.21154048]",14.9551
93,0.3766,2.0336,"[ 0.70721888 -0.0086658  -0.43750747 -0.44106289  0.17222     0.64435518
  0.40740798  1.26205788  0.81054834  0.64310008 -0.39231168  1.16835403
  1.37718488  0.43043083  0.4328433   1.37402974  1.19062601 -0.28872834
  0.68662271  0.04059231  0.358014    1.51361482  0.70030599  1.21548122
  0.8735343   0.64312382  0.15964213 -0.48480039 -0.40954574  0.26526344
  0.62766759 -0.21749728]",14.9873
94,0.3759,2.0611,"[ 0.7132166  -0.0146624  -0.44350498 -0.44706261  0.17821346  0.65035306
  0.41340577  1.25606077  0.80454939  0.64111018 -0.39830857  1.17416692
  1.38318427  0.42443171  0.42685197  1.38002551  1.19661718 -0.28287758
  0.68065382  0.03474742  0.35201723  1.51961058  0.70630561  1.22147412
  0.86938712  0.64912342  0.15364249 -0.49080033 -0.41554521  0.27125676
  0.63366179 -0.22345379]",15.0201
95,0.3753,2.0454,"[ 0.71921428 -0.02065895 -0.44950246 -0.45306234  0.18420724  0.65635092
  0.4194036   1.25006356  0.79855045  0.63712449 -0.40430488  1.17421435
  1.38918359  0.41843259  0.42086124  1.38602125  1.20260833 -0.27702434
  0.67468314  0.02890662  0.34602057  1.52560639  0.71230522  1.227467
  0.86667762  0.65512303  0.14764286 -0.49680028 -0.42154466  0.27725019
  0.6396559  -0.22940849]",15.0519
96,0.3724,2.0134,"[ 0.72521192 -0.02665544 -0.45549988 -0.45906206  0.19020126  0.66234874
  0.42540141  1.24406637  0.79255155  0.63114126 -0.41030044  1.17396856
  1.39518281  0.41243348  0.41487147  1.39201685  1.20859942 -0.27116938
  0.66871092  0.02307026  0.3400241   1.53160217  0.71830484  1.23345966
  0.87194955  0.66112264  0.14164326 -0.50280023 -0.42754409  0.28324349
  0.64564975 -0.23536061]",15.0813
97,0.3799,1.9395,"[ 0.73120962 -0.03265206 -0.46149737 -0.4650618   0.19619576  0.66834663
  0.43139925  1.23806911  0.78655263  0.62515426 -0.41629502  1.17247995
  1.40118196  0.40643434  0.40888229  1.39801254  1.21459091 -0.26530621
  0.6627361   0.0172306   0.33402767  1.53759813  0.72430448  1.23945245
  0.8776232   0.66712227  0.13564367 -0.50880018 -0.43354351  0.28923698
  0.65164362 -0.24131256]",15.1109
98,0.3809,1.8361,"[ 0.7372072  -0.03864855 -0.46749475 -0.47106152  0.20219029  0.67434444
  0.43739721  1.23207168  0.78055374  0.62316428 -0.42228624  1.1745021
  1.40718092  0.40043524  0.40289457  1.40400802  1.22058213 -0.25944543
  0.65676077  0.01139938  0.32803154  1.54359397  0.73030409  1.24544489
  0.88336564  0.67312188  0.12964412 -0.51480013 -0.4395429   0.29523022
  0.65763711 -0.24726038]",15.1416
99,0.3831,1.8491,"[ 0.74320481 -0.04464511 -0.47349219 -0.47706125  0.20818518  0.6803423
  0.4433953   1.22607405  0.77455479  0.62311698 -0.42826741  1.17685553
  1.41317973  0.3944361   0.3969076   1.41000359  1.22657356 -0.25357942
  0.65078364  0.00556676  0.32203547  1.54958999  0.73630372  1.25143753
  0.8890963   0.6791215   0.12364458 -0.52080008 -0.44554229  0.3012237
  0.66363072 -0.2532063 ]",15.1729
