epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
14,0.4468,1.6411,"[ 0.52889577  0.46518105  0.03635554  0.03288618  0.40547729  0.17103244
  0.73116391  0.91797733  0.85453207  0.32906482  0.0815937   0.71006154
  0.9032075   0.90391021  0.70698945  0.90036934  0.71722124 -0.01632169
  0.34619997  0.3949503   0.76869293  1.0406396   0.59030893  0.74813447
  0.47626831  0.81913147  0.63362334 -0.01080808  0.06441404  0.4373803
  0.69938159  0.25536381]",15.0286
15,0.4422,1.6404,"[ 0.52290392  0.45918272  0.03035732  0.02688781  0.39949506  0.17699573
  0.72516564  0.9239759   0.86052957  0.33506409  0.07559603  0.71605901
  0.90920722  0.89794668  0.71292682  0.90636562  0.72321383 -0.02230294
  0.35219033  0.3980139   0.77458266  1.04660423  0.58430992  0.7536899
  0.48225328  0.81313183  0.62762361 -0.01680789  0.05841499  0.43138223
  0.69338601  0.24936756]",14.9917
16,0.4449,1.6581,"[ 0.51691213  0.45318436  0.02435906  0.02088939  0.39351266  0.18296141
  0.71916734  0.9299745   0.86652714  0.34106339  0.06959833  0.72205668
  0.91520695  0.89197958  0.71886614  0.91236194  0.72920659 -0.02828466
  0.358181    0.40189051  0.78045098  1.05257053  0.57831089  0.75924416
  0.48823898  0.80713217  0.62162389 -0.0228077   0.05241592  0.42538415
  0.6873904   0.2433712 ]",14.9556
17,0.435,1.6819,"[ 0.51092034  0.44718595  0.01836075  0.0148909   0.38752994  0.18892965
  0.71316898  0.93597313  0.87252481  0.34706272  0.06360056  0.72805454
  0.92120668  0.88600909  0.7248076   0.91835833  0.73519959 -0.03426703
  0.36417205  0.40617023  0.78628335  1.05853876  0.57231184  0.76480475
  0.49422551  0.80113249  0.61562415 -0.02880752  0.0464168   0.41938604
  0.68139471  0.2373747 ]",14.9201
18,0.4276,1.69,"[ 0.50492855  0.4411875   0.01236238  0.00889236  0.38154693  0.19490018
  0.70717056  0.94197178  0.87852257  0.35306209  0.05760272  0.73405255
  0.92720642  0.88003574  0.73075064  0.92435479  0.74119283 -0.04024999
  0.37016345  0.41065448  0.79203623  1.06450873  0.56631276  0.77037452
  0.5002128   0.79513281  0.60962441 -0.03480735  0.04041765  0.4133879
  0.67539896  0.23137807]",14.8851
19,0.4177,1.7254,"[ 0.49893659  0.43518899  0.00636394  0.00289375  0.37556343  0.2008732
  0.70117206  0.94797049  0.88452043  0.35906149  0.05160473  0.74005071
  0.93320616  0.87405955  0.73669554  0.93035136  0.74718637 -0.04623373
  0.37615529  0.41524254  0.7974613   1.07048072  0.56031366  0.77596291
  0.50620095  0.7891331   0.60362466 -0.04080719  0.03441846  0.40738972
  0.66940309  0.22538127]",14.8508
20,0.4227,1.755,"[ 4.92944553e-01  4.29190429e-01  3.65446552e-04 -3.10492761e-03
  3.69579559e-01  2.06848359e-01  6.95173489e-01  9.53969225e-01
  8.90518371e-01  3.65060920e-01  4.56066309e-02  7.46049004e-01
  9.39205919e-01  8.68081010e-01  7.42641543e-01  9.36348018e-01
  7.53180182e-01 -5.22181432e-02  3.82147503e-01  4.19836368e-01
  7.94724340e-01  1.07645445e+00  5.54314551e-01  7.81571999e-01
  5.12189851e-01  7.83133391e-01  5.97624900e-01 -4.68070266e-02
  2.84192303e-02  4.01391495e-01  6.63407110e-01  2.19384315e-01]",14.817
21,0.4172,1.744,"[ 0.48695262  0.42319185 -0.00563307 -0.00910365  0.36359565  0.212825
  0.68917489  0.95996798  0.89651635  0.37106037  0.03960848  0.75204739
  0.94520568  0.86210081  0.74858698  0.9423447   0.75917413 -0.05820287
  0.38813991  0.424308    0.78901794  1.08242927  0.54831544  0.78719823
  0.51817923  0.77713367  0.59162514 -0.05280687  0.02241998  0.39539327
  0.65741112  0.21338729]",14.7838
22,0.4049,1.7718,"[ 0.48096071  0.41719323 -0.01163164 -0.01510244  0.35761145  0.21880336
  0.68317623  0.96596676  0.90251439  0.37705984  0.03361024  0.75804587
  0.95120544  0.85611885  0.75453208  0.94834146  0.76516829 -0.06418814
  0.39413261  0.42849764  0.7831725   1.08840551  0.54231632  0.79285069
  0.52416921  0.77113394  0.58562537 -0.05880672  0.01642069  0.38939502
  0.65141505  0.20739013]",14.7512
23,0.3979,1.8009,"[ 0.47496887  0.41119457 -0.01763023 -0.02110128  0.351627    0.22478324
  0.67717752  0.97196556  0.90851246  0.38305933  0.0276119   0.76404443
  0.95720521  0.85013538  0.7604759   0.95433828  0.77116266 -0.07017387
  0.40012558  0.43194685  0.77727551  1.09438299  0.53631719  0.79853083
  0.53015974  0.7651342   0.57962559 -0.06480658  0.01042138  0.38339674
  0.64541892  0.20139288]",14.7191
24,0.408,1.7996,"[ 0.46897717  0.40519588 -0.02362886 -0.02710017  0.34564241  0.23076439
  0.67117877  0.97796439  0.91451057  0.38905884  0.0216135   0.77004307
  0.96320498  0.84415065  0.76641705  0.96033514  0.77715717 -0.07615994
  0.40611873  0.43260773  0.77135202  1.10036149  0.53031808  0.80423817
  0.53615069  0.75913445  0.57362581 -0.07080644  0.00442205  0.37739846
  0.63942276  0.19539553]",14.6872
